"Fecha","Hora","MP10 (µg/m³N)"
"24/10/2023","0","537.3"
"24/10/2023","1","744.0"
"24/10/2023","2","214.0"
"24/10/2023","3","242.7"
"24/10/2023","4","202.5"
"24/10/2023","5","240.4"
"24/10/2023","6","483.3"
"24/10/2023","7","197.6"
"24/10/2023","8","296.6"
"24/10/2023","9","138.6"
"24/10/2023","10","287.4"
"24/10/2023","11","35.7"
"24/10/2023","12","32.4"
"24/10/2023","13","229.0"
"24/10/2023","14","203.4"
"24/10/2023","15","186.3"
"24/10/2023","16","77.0"
"24/10/2023","17","41.3"
"24/10/2023","18","169.7"
"24/10/2023","19","48.8"
"24/10/2023","20","38.8"
"24/10/2023","21","144.0"
"24/10/2023","22","178.8"
"24/10/2023","23","229.8"
"25/10/2023","0","147.8"
"25/10/2023","1","689.6"
"25/10/2023","2","308.1"
"25/10/2023","3","522.6"
"25/10/2023","4","231.9"
"25/10/2023","5","185.4"
"25/10/2023","6","303.9"
"25/10/2023","7","923.7"
"25/10/2023","8","538.3"
"25/10/2023","9","354.9"
"25/10/2023","10","104.2"
"25/10/2023","11","52.4"
"25/10/2023","12","66.6"
"25/10/2023","13","30.0"
"25/10/2023","14","203.4"
"25/10/2023","15","151.6"
"25/10/2023","16","77.0"
"25/10/2023","17","41.3"
"25/10/2023","18","20.0"
"25/10/2023","19","33.9"
"25/10/2023","20","71.6"
"25/10/2023","21","97.8"
"25/10/2023","22","69.9"
"25/10/2023","23","67.2"
"26/10/2023","0","681.0"
"26/10/2023","1","744.0"
"26/10/2023","2","343.7"
"26/10/2023","3","522.6"
"26/10/2023","4","231.9"
"26/10/2023","5","185.4"
"26/10/2023","6","298.2"
"26/10/2023","7","464.6"
"26/10/2023","8","502.5"
"26/10/2023","9","138.6"
"26/10/2023","10","287.4"
"26/10/2023","11","67.9"
"26/10/2023","12","178.2"
"26/10/2023","13","84.6"
"26/10/2023","14","62.9"
"26/10/2023","15","186.3"
"26/10/2023","16","81.3"
"26/10/2023","17","61.1"
"26/10/2023","18","169.7"
"26/10/2023","19","48.8"
"26/10/2023","20","36.3"
"26/10/2023","21","97.8"
"26/10/2023","22","83.7"
"26/10/2023","23","126.0"
"27/10/2023","0","537.3"
"27/10/2023","1","595.5"
"27/10/2023","2","272.0"
"27/10/2023","3","156.3"
"27/10/2023","4","341.1"
"27/10/2023","5","240.4"
"27/10/2023","6","462.3"
"27/10/2023","7","344.7"
"27/10/2023","8","296.6"
"27/10/2023","9","138.6"
"27/10/2023","10","72.3"
"27/10/2023","11","67.9"
"27/10/2023","12","82.5"
"27/10/2023","13","129.3"
"27/10/2023","14","72.4"
"27/10/2023","15","186.3"
"27/10/2023","16","255.8"
"27/10/2023","17","42.0"
"27/10/2023","18","169.7"
"27/10/2023","19","17.8"
"27/10/2023","20","25.9"
"27/10/2023","21","97.8"
"27/10/2023","22","87.6"
"27/10/2023","23","229.8"
"28/10/2023","0","147.8"
"28/10/2023","1","130.5"
"28/10/2023","2","308.1"
"28/10/2023","3","522.6"
"28/10/2023","4","231.9"
"28/10/2023","5","185.4"
"28/10/2023","6","303.9"
"28/10/2023","7","197.6"
"28/10/2023","8","296.6"
"28/10/2023","9","136.7"
"28/10/2023","10","72.3"
"28/10/2023","11","67.9"
"28/10/2023","12","32.4"
"28/10/2023","13","37.4"
"28/10/2023","14","62.9"
"28/10/2023","15","186.3"
"28/10/2023","16","143.5"
"28/10/2023","17","41.3"
"28/10/2023","18","169.7"
"28/10/2023","19","36.9"
"28/10/2023","20","49.1"
"28/10/2023","21","97.8"
"28/10/2023","22","69.9"
"28/10/2023","23","67.2"
"29/10/2023","0","201.3"
"29/10/2023","1","130.5"
"29/10/2023","2","308.1"
"29/10/2023","3","136.3"
"29/10/2023","4","120.0"
"29/10/2023","5","295.8"
"29/10/2023","6","298.2"
"29/10/2023","7","197.6"
"29/10/2023","8","296.6"
"29/10/2023","9","138.6"
"29/10/2023","10","72.3"
"29/10/2023","11","67.9"
"29/10/2023","12","82.5"
"29/10/2023","13","24.0"
"29/10/2023","14","59.9"
"29/10/2023","15","67.7"
"29/10/2023","16","143.5"
"29/10/2023","17","41.3"
"29/10/2023","18","169.7"
"29/10/2023","19","48.8"
"29/10/2023","20","71.6"
"29/10/2023","21","97.8"
"29/10/2023","22","132.9"
"29/10/2023","23","229.8"
"30/10/2023","0","147.8"
"30/10/2023","1","689.6"
"30/10/2023","2","295.3"
"30/10/2023","3","522.6"
"30/10/2023","4","120.0"
"30/10/2023","5","295.8"
"30/10/2023","6","561.8"
"30/10/2023","7","197.6"
"30/10/2023","8","296.6"
"30/10/2023","9","500.0"
"30/10/2023","10","287.4"
"30/10/2023","11","67.9"
"30/10/2023","12","21.1"
"30/10/2023","13","19.5"
"30/10/2023","14","59.9"
"30/10/2023","15","186.3"
"30/10/2023","16","255.8"
"30/10/2023","17","41.3"
"30/10/2023","18","169.7"
"30/10/2023","19","42.5"
"30/10/2023","20","71.6"
"30/10/2023","21","97.8"
"30/10/2023","22","132.9"
"30/10/2023","23","229.8"
"31/10/2023","0","537.3"
"31/10/2023","1","744.0"
"31/10/2023","2","214.0"
"31/10/2023","3","242.7"
"31/10/2023","4","202.5"
"31/10/2023","5","361.8"
"31/10/2023","6","888.0"
"31/10/2023","7","923.7"
"31/10/2023","8","797.5"
"31/10/2023","9","500.0"
"31/10/2023","10","287.4"
"31/10/2023","11","67.9"
"31/10/2023","12","21.1"
"31/10/2023","13","19.5"
"31/10/2023","14","59.9"
"31/10/2023","15","67.7"
"31/10/2023","16","255.8"
"31/10/2023","17","39.3"
"31/10/2023","18","169.7"
"31/10/2023","19","49.0"
"31/10/2023","20","49.1"
"31/10/2023","21","97.8"
"31/10/2023","22","78.8"
"31/10/2023","23","229.8"
"01/11/2023","0","537.3"
"01/11/2023","1","744.0"
"01/11/2023","2","214.0"
"01/11/2023","3","361.9"
"01/11/2023","4","292.7"
"01/11/2023","5","361.8"
"01/11/2023","6","888.0"
"01/11/2023","7","259.8"
"01/11/2023","8","296.6"
"01/11/2023","9","500.0"
"01/11/2023","10","287.4"
"01/11/2023","11","67.9"
"01/11/2023","12","32.4"
"01/11/2023","13","19.5"
"01/11/2023","14","40.4"
"01/11/2023","15","186.3"
"01/11/2023","16","255.8"
"01/11/2023","17","214.6"
"01/11/2023","18","169.7"
"01/11/2023","19","114.4"
"01/11/2023","20","25.9"
"01/11/2023","21","144.0"
"01/11/2023","22","88.8"
"01/11/2023","23","229.8"
"02/11/2023","0","267.8"
"02/11/2023","1","744.0"
"02/11/2023","2","214.0"
"02/11/2023","3","361.9"
"02/11/2023","4","284.1"
"02/11/2023","5","319.3"
