"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"24/10/2023","0",""
"24/10/2023","1",""
"24/10/2023","2",""
"24/10/2023","3",""
"24/10/2023","4",""
"24/10/2023","5",""
"24/10/2023","6",""
"24/10/2023","7",""
"24/10/2023","8",""
"24/10/2023","9",""
"24/10/2023","10","242.2"
"24/10/2023","11",""
"24/10/2023","12","110.0"
"24/10/2023","13","98.2"
"24/10/2023","14","49.6"
"24/10/2023","15","44.0"
"24/10/2023","16","53.5"
"24/10/2023","17","74.0"
"24/10/2023","18","62.2"
"24/10/2023","19",""
"24/10/2023","20","26.6"
"24/10/2023","21","28.6"
"24/10/2023","22","39.0"
"24/10/2023","23","31.5"
"25/10/2023","0","39.3"
"25/10/2023","1","47.3"
"25/10/2023","2","115.3"
"25/10/2023","3",""
"25/10/2023","4","303.0"
"25/10/2023","5","251.4"
"25/10/2023","6","96.7"
"25/10/2023","7","134.8"
"25/10/2023","8","155.1"
"25/10/2023","9","139.0"
"25/10/2023","10","195.8"
"25/10/2023","11","77.9"
"25/10/2023","12","62.8"
"25/10/2023","13","57.2"
"25/10/2023","14","52.8"
"25/10/2023","15","30.8"
"25/10/2023","16","32.8"
"25/10/2023","17","121.4"
"25/10/2023","18","119.0"
"25/10/2023","19","71.8"
"25/10/2023","20","32.7"
"25/10/2023","21","38.1"
"25/10/2023","22","47.8"
"25/10/2023","23","59.0"
"26/10/2023","0","141.9"
"26/10/2023","1","572.4"
"26/10/2023","2","353.0"
"26/10/2023","3","344.3"
"26/10/2023","4","198.8"
"26/10/2023","5","298.9"
"26/10/2023","6","259.5"
"26/10/2023","7","270.5"
"26/10/2023","8","597.8"
"26/10/2023","9","306.0"
"26/10/2023","10","143.1"
"26/10/2023","11","109.5"
"26/10/2023","12","84.4"
"26/10/2023","13","49.4"
"26/10/2023","14","36.0"
"26/10/2023","15","37.4"
"26/10/2023","16","21.6"
"26/10/2023","17","29.1"
"26/10/2023","18","28.9"
"26/10/2023","19","73.5"
"26/10/2023","20","35.5"
"26/10/2023","21","60.4"
"26/10/2023","22","66.8"
"26/10/2023","23","74.4"
"27/10/2023","0","85.4"
"27/10/2023","1","204.2"
"27/10/2023","2","221.8"
"27/10/2023","3","98.2"
"27/10/2023","4","89.6"
"27/10/2023","5","121.4"
"27/10/2023","6","223.3"
"27/10/2023","7","201.8"
"27/10/2023","8","132.5"
"27/10/2023","9","139.7"
"27/10/2023","10","147.6"
"27/10/2023","11","76.1"
"27/10/2023","12","64.7"
"27/10/2023","13","36.9"
"27/10/2023","14","26.0"
"27/10/2023","15","28.4"
"27/10/2023","16","46.9"
"27/10/2023","17","67.1"
"27/10/2023","18","167.8"
"27/10/2023","19","113.6"
"27/10/2023","20","35.7"
"27/10/2023","21","33.7"
"27/10/2023","22","41.0"
"27/10/2023","23","46.4"
"28/10/2023","0","47.1"
"28/10/2023","1","353.7"
"28/10/2023","2","343.4"
"28/10/2023","3","363.8"
"28/10/2023","4","197.6"
"28/10/2023","5","106.9"
"28/10/2023","6","152.4"
"28/10/2023","7","126.8"
"28/10/2023","8","374.9"
"28/10/2023","9","202.5"
"28/10/2023","10","94.3"
"28/10/2023","11","43.4"
"28/10/2023","12","65.9"
"28/10/2023","13","73.7"
"28/10/2023","14","104.5"
"28/10/2023","15","91.1"
"28/10/2023","16","83.7"
"28/10/2023","17","70.6"
"28/10/2023","18","43.5"
"28/10/2023","19","40.6"
"28/10/2023","20","38.3"
"28/10/2023","21","26.6"
"28/10/2023","22","19.4"
"28/10/2023","23","43.2"
"29/10/2023","0","70.7"
"29/10/2023","1","124.3"
"29/10/2023","2","95.0"
"29/10/2023","3","71.2"
"29/10/2023","4","101.0"
"29/10/2023","5","142.0"
"29/10/2023","6","151.2"
"29/10/2023","7","117.0"
"29/10/2023","8","139.7"
"29/10/2023","9","99.1"
"29/10/2023","10","121.1"
"29/10/2023","11","177.9"
"29/10/2023","12","133.6"
"29/10/2023","13","61.9"
"29/10/2023","14","45.5"
"29/10/2023","15","30.1"
"29/10/2023","16","24.1"
"29/10/2023","17","26.7"
"29/10/2023","18","66.4"
"29/10/2023","19","57.1"
"29/10/2023","20","35.9"
"29/10/2023","21","19.9"
"29/10/2023","22","17.9"
"29/10/2023","23","43.0"
"30/10/2023","0","87.4"
"30/10/2023","1","100.5"
"30/10/2023","2","78.3"
"30/10/2023","3","157.9"
"30/10/2023","4","89.1"
"30/10/2023","5","100.0"
"30/10/2023","6","66.1"
"30/10/2023","7","74.9"
"30/10/2023","8","142.7"
"30/10/2023","9","99.3"
"30/10/2023","10","73.2"
"30/10/2023","11","34.0"
"30/10/2023","12","73.0"
"30/10/2023","13","59.1"
"30/10/2023","14","37.7"
"30/10/2023","15","20.7"
"30/10/2023","16","22.1"
"30/10/2023","17","25.7"
"30/10/2023","18","167.7"
"30/10/2023","19","35.7"
"30/10/2023","20","54.4"
"30/10/2023","21","30.8"
"30/10/2023","22","24.5"
"30/10/2023","23","24.7"
"31/10/2023","0","25.7"
"31/10/2023","1","54.9"
"31/10/2023","2","43.5"
"31/10/2023","3","111.7"
"31/10/2023","4","122.8"
"31/10/2023","5","183.5"
"31/10/2023","6","79.5"
"31/10/2023","7","75.4"
"31/10/2023","8","192.1"
"31/10/2023","9","79.2"
"31/10/2023","10","68.6"
"31/10/2023","11","85.6"
"31/10/2023","12","90.6"
"31/10/2023","13","41.6"
"31/10/2023","14","35.5"
"31/10/2023","15","36.2"
"31/10/2023","16","26.7"
"31/10/2023","17","34.8"
"31/10/2023","18","40.4"
"31/10/2023","19","37.9"
"31/10/2023","20","28.4"
"31/10/2023","21","12.5"
"31/10/2023","22","9.8"
"31/10/2023","23","67.3"
"01/11/2023","0","61.4"
"01/11/2023","1","86.1"
"01/11/2023","2","86.1"
"01/11/2023","3","91.8"
"01/11/2023","4","198.5"
"01/11/2023","5","220.4"
"01/11/2023","6","248.2"
"01/11/2023","7","154.7"
"01/11/2023","8","213.6"
"01/11/2023","9","171.8"
"01/11/2023","10","111.7"
"01/11/2023","11","98.9"
"01/11/2023","12","73.5"
"01/11/2023","13","178.2"
"01/11/2023","14","198.9"
"01/11/2023","15","219.3"
"01/11/2023","16","169.9"
"01/11/2023","17","101.6"
"01/11/2023","18","89.8"
"01/11/2023","19","50.8"
"01/11/2023","20","41.2"
"01/11/2023","21","16.4"
"01/11/2023","22","26.9"
"01/11/2023","23","67.1"
"02/11/2023","0","539.1"
"02/11/2023","1","383.6"
"02/11/2023","2","383.6"
"02/11/2023","3","465.0"
"02/11/2023","4","283.2"
"02/11/2023","5","209.4"
"02/11/2023","6","102.0"
"02/11/2023","7","238.6"
"02/11/2023","8","214.1"
"02/11/2023","9","76.1"
"02/11/2023","10","152.2"
"02/11/2023","11","58.8"
"02/11/2023","12","50.0"
"02/11/2023","13","44.5"
"02/11/2023","14","55.0"
"02/11/2023","15","66.6"
"02/11/2023","16","24.8"
"02/11/2023","17","34.0"
"02/11/2023","18","53.5"
"02/11/2023","19","34.5"
"02/11/2023","20","72.5"
"02/11/2023","21","18.4"
"02/11/2023","22","12.7"
"02/11/2023","23","38.3"
"03/11/2023","0","22.3"
"03/11/2023","1","69.0"
"03/11/2023","2","69.0"
"03/11/2023","3","187.4"
"03/11/2023","4","112.1"
"03/11/2023","5","203.0"
"03/11/2023","6","383.4"
"03/11/2023","7","225.0"
"03/11/2023","8","228.4"
"03/11/2023","9","583.5"
"03/11/2023","10","208.7"
"03/11/2023","11","99.4"
"03/11/2023","12","229.9"
"03/11/2023","13","128.0"
"03/11/2023","14","71.3"
"03/11/2023","15","28.9"
"03/11/2023","16","35.3"
"03/11/2023","17","30.6"
"03/11/2023","18","155.2"
"03/11/2023","19","67.8"
"03/11/2023","20","57.3"
"03/11/2023","21","55.4"
"03/11/2023","22","61.6"
"03/11/2023","23","68.3"
"04/11/2023","0","119.1"
"04/11/2023","1","293.5"
"04/11/2023","2","293.5"
"04/11/2023","3","302.3"
"04/11/2023","4","253.8"
"04/11/2023","5","154.9"
"04/11/2023","6","997.0"
"04/11/2023","7","928.0"
"04/11/2023","8","629.7"
"04/11/2023","9","586.6"
"04/11/2023","10","296.7"
"04/11/2023","11","87.1"
"04/11/2023","12","57.6"
"04/11/2023","13","65.2"
"04/11/2023","14","45.7"
"04/11/2023","15","28.1"
"04/11/2023","16","24.6"
"04/11/2023","17","50.3"
"04/11/2023","18","108.5"
"04/11/2023","19","115.6"
"04/11/2023","20","72.5"
"04/11/2023","21","33.7"
"04/11/2023","22","32.7"
"04/11/2023","23","43.4"
"05/11/2023","0","44.9"
"05/11/2023","1","67.3"
"05/11/2023","2","67.3"
"05/11/2023","3","140.0"
"05/11/2023","4","106.7"
"05/11/2023","5","99.5"
"05/11/2023","6","115.3"
"05/11/2023","7","130.6"
"05/11/2023","8","176.7"
"05/11/2023","9","142.9"
"05/11/2023","10","146.3"
"05/11/2023","11","65.9"
"05/11/2023","12","87.2"
"05/11/2023","13","76.2"
"05/11/2023","14","61.5"
"05/11/2023","15","41.6"
"05/11/2023","16","31.1"
"05/11/2023","17","81.8"
"05/11/2023","18","102.0"
"05/11/2023","19","60.5"
"05/11/2023","20","44.2"
"05/11/2023","21","42.0"
"05/11/2023","22","32.2"
"05/11/2023","23","30.0"
"06/11/2023","0","33.0"
"06/11/2023","1","50.7"
"06/11/2023","2","50.8"
"06/11/2023","3","49.1"
"06/11/2023","4","225.2"
"06/11/2023","5","233.9"
"06/11/2023","6","605.6"
"06/11/2023","7","641.7"
"06/11/2023","8","100.5"
"06/11/2023","9","133.5"
"06/11/2023","10","89.6"
"06/11/2023","11","64.2"
"06/11/2023","12","70.6"
"06/11/2023","13","64.2"
"06/11/2023","14","44.9"
"06/11/2023","15","20.6"
"06/11/2023","16","30.8"
"06/11/2023","17","26.7"
"06/11/2023","18","186.3"
"06/11/2023","19","75.0"
"06/11/2023","20","56.1"
"06/11/2023","21","33.4"
"06/11/2023","22","34.7"
"06/11/2023","23","42.0"
"07/11/2023","0","39.8"
"07/11/2023","1","82.2"
"07/11/2023","2","82.2"
"07/11/2023","3","563.9"
"07/11/2023","4","385.3"
"07/11/2023","5","166.7"
"07/11/2023","6","94.0"
"07/11/2023","7","114.6"
"07/11/2023","8","257.3"
"07/11/2023","9","160.1"
"07/11/2023","10","149.1"
"07/11/2023","11","127.6"
"07/11/2023","12","180.7"
"07/11/2023","13",""
"07/11/2023","14",""
"07/11/2023","15",""
"07/11/2023","16","136.2"
"07/11/2023","17","83.6"
"07/11/2023","18","101.0"
"07/11/2023","19","75.8"
"07/11/2023","20","33.8"
"07/11/2023","21","24.8"
"07/11/2023","22","29.8"
"07/11/2023","23","43.0"
"08/11/2023","0","98.0"
"08/11/2023","1","962.0"
"08/11/2023","2","963.0"
"08/11/2023","3","733.4"
"08/11/2023","4","899.0"
"08/11/2023","5","659.0"
"08/11/2023","6","755.3"
"08/11/2023","7","655.8"
"08/11/2023","8","728.3"
"08/11/2023","9","794.4"
"08/11/2023","10","133.7"
"08/11/2023","11","97.6"
"08/11/2023","12","134.0"
"08/11/2023","13","99.5"
"08/11/2023","14","88.8"
"08/11/2023","15","39.2"
"08/11/2023","16","85.8"
"08/11/2023","17","56.5"
"08/11/2023","18","118.4"
"08/11/2023","19","69.4"
"08/11/2023","20","55.5"
"08/11/2023","21","26.2"
"08/11/2023","22","68.9"
"08/11/2023","23","132.9"
"09/11/2023","0","447.1"
"09/11/2023","1","342.0"
"09/11/2023","2","342.0"
"09/11/2023","3","48.4"
"09/11/2023","4","52.3"
"09/11/2023","5","145.4"
"09/11/2023","6","261.4"
"09/11/2023","7","309.1"
"09/11/2023","8","194.7"
"09/11/2023","9","157.0"
"09/11/2023","10","118.8"
"09/11/2023","11","49.2"
"09/11/2023","12","52.6"
"09/11/2023","13","41.2"
"09/11/2023","14","33.6"
"09/11/2023","15","21.5"
"09/11/2023","16","36.5"
