Fecha,Hora,Observada,Minera,Variable,Estacion,uuid
12/31/2023,23,18.1,Cmcc,MP10,Campamento,058dd713-a5d1-5acf-aa72-eb8555461477
01/01/2024,0,12.9,Cmcc,MP10,Campamento,120943ea-7062-5e50-8aa5-5afc0cd53cfb
01/01/2024,1,16.5,Cmcc,MP10,Campamento,e7e66eb6-6306-5490-b663-3ad76a375970
01/01/2024,2,28.0,Cmcc,MP10,Campamento,ad395865-ab45-5e87-9dce-d3039604c427
01/01/2024,3,27.2,Cmcc,MP10,Campamento,d2bab16b-99ae-568f-b490-2c051273ae25
01/01/2024,4,34.8,Cmcc,MP10,Campamento,dc50cba2-9a73-5969-8493-1757e0e126fd
01/01/2024,5,31.1,Cmcc,MP10,Campamento,cf955f81-db05-53ae-8b37-23fad21f19d0
01/01/2024,6,32.2,Cmcc,MP10,Campamento,f3154e06-ca54-5023-9259-67f49db0a61e
01/01/2024,7,33.9,Cmcc,MP10,Campamento,5e13ef6c-ed14-56e8-bd10-fedce60122c9
01/01/2024,8,31.8,Cmcc,MP10,Campamento,a12eccf8-98b2-5160-9a9f-e0c933921c2c
01/01/2024,9,39.7,Cmcc,MP10,Campamento,84d63c09-11f7-5d5a-a822-73727da9033d
01/01/2024,10,30.8,Cmcc,MP10,Campamento,d3d84971-9fc1-5de7-aa1e-bc3af151f1ba
01/01/2024,11,32.1,Cmcc,MP10,Campamento,72b59e09-ae2a-56ac-bed0-7796247c3a1b
01/01/2024,12,32.1,Cmcc,MP10,Campamento,2772ffb6-3c32-5010-baae-9c810dd4b065
01/01/2024,13,38.6,Cmcc,MP10,Campamento,db3deef8-5591-5a26-ac4d-468cad81c355
01/01/2024,14,32.3,Cmcc,MP10,Campamento,06ddb697-fa90-5a7a-98cb-782845ca5eac
01/01/2024,15,40.0,Cmcc,MP10,Campamento,cb9af8d8-df59-5bca-9620-7de2b34b234f
01/01/2024,16,47.8,Cmcc,MP10,Campamento,9d95479f-9adc-5134-8b56-2f591453a16f
01/01/2024,17,83.0,Cmcc,MP10,Campamento,f07c4ead-4055-59e3-ac1e-3f7a1f9c3a5b
01/01/2024,18,67.7,Cmcc,MP10,Campamento,6c78ff96-fa61-50f0-b803-04b30f468b00
01/01/2024,19,63.0,Cmcc,MP10,Campamento,8c2c7c30-7e55-5ea0-af91-51b89de52688
01/01/2024,20,90.5,Cmcc,MP10,Campamento,6de48680-259d-5440-874f-1ea5fbb0f331
01/01/2024,21,94.7,Cmcc,MP10,Campamento,26defeee-3c99-5208-9917-facd0d25cd40
01/01/2024,22,73.1,Cmcc,MP10,Campamento,07a35755-6843-5173-87b8-b71adeeece5b
01/01/2024,23,53.4,Cmcc,MP10,Campamento,d541b223-4b17-5336-9ec0-851c8e149d76
01/02/2024,0,52.9,Cmcc,MP10,Campamento,b454528e-516a-5f06-977a-77013d4eee06
01/02/2024,1,50.5,Cmcc,MP10,Campamento,634b63ed-b82a-530a-a332-48b72ae4d4d5
01/02/2024,2,62.9,Cmcc,MP10,Campamento,a2a7c104-f19d-5da9-9329-d71dc1db6717
01/02/2024,3,59.4,Cmcc,MP10,Campamento,e79b1762-4f67-582d-ba07-41b1890f16b3
01/02/2024,4,44.0,Cmcc,MP10,Campamento,dee457b9-55fa-5117-89ca-ea42dbd8c05c
01/02/2024,5,45.1,Cmcc,MP10,Campamento,55c54411-ea6f-514c-a361-362249e53b93
01/02/2024,6,43.8,Cmcc,MP10,Campamento,81a84316-bb12-5c82-8219-923391fd112c
01/02/2024,7,44.3,Cmcc,MP10,Campamento,503c91be-15dc-54b3-baa1-13a8b738bbc7
01/02/2024,8,43.5,Cmcc,MP10,Campamento,d49f0e9c-85cf-5638-b6ea-d75eaf2fced2
01/02/2024,9,47.5,Cmcc,MP10,Campamento,1dfa5080-148d-52cf-9938-83196c2ee2f3
01/02/2024,10,38.6,Cmcc,MP10,Campamento,569e7d9a-36bf-505b-b309-b6827735402d
01/02/2024,11,36.0,Cmcc,MP10,Campamento,881d1082-90ad-5b45-be94-e74eaf990ed9
01/02/2024,12,32.1,Cmcc,MP10,Campamento,a883153f-b055-543f-9aca-f363a6d17db6
