Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/01/2024,0,3.6,Enami,SO2,Paipote,Pronosticada,560a6db0-a381-5a1e-ad4d-683e828d4e78
01/01/2024,1,4.5,Enami,SO2,Paipote,Pronosticada,b7593691-ff08-5670-8dd6-9663e7e80984
01/01/2024,2,5.0,Enami,SO2,Paipote,Pronosticada,3ba95c28-359f-5b15-9b06-82ffa8e48bb6
01/01/2024,3,4.0,Enami,SO2,Paipote,Pronosticada,0aa80778-be89-5a6c-9f82-792d220e656a
01/01/2024,4,9.9,Enami,SO2,Paipote,Pronosticada,d0ed4286-e4ad-5d58-8608-6e4711938877
01/01/2024,5,4.6,Enami,SO2,Paipote,Pronosticada,582b1f42-d3f3-5b6b-8b62-a9146e8aa633
01/01/2024,6,4.2,Enami,SO2,Paipote,Pronosticada,6c798e0d-5b19-5286-b56b-e17258982212
01/01/2024,7,4.4,Enami,SO2,Paipote,Pronosticada,c7fa01d5-1e1d-5e40-9510-bdd76e50ebf3
01/01/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,52e94964-d30c-5ff2-a1b6-c5fead1c8aba
01/01/2024,9,9.6,Enami,SO2,Paipote,Pronosticada,67ee18db-a794-59d5-9cf2-a404680f613b
01/01/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,4e4beaef-0c06-5ca9-aca5-179343274472
01/01/2024,11,8.0,Enami,SO2,Paipote,Pronosticada,778640cd-258e-59ac-8955-6f849081bddd
01/01/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,dc93e5fc-ef44-5a16-ba96-4a2bb9be88c2
01/01/2024,13,4.9,Enami,SO2,Paipote,Pronosticada,f916714f-5c8b-52d1-bf01-fbdad36c7a37
01/01/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,6fec7f82-5a22-53a8-9ac6-b0aa7399a9ae
01/01/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,3fb09e34-ad6e-5450-a8c5-b5721f84e803
01/01/2024,16,4.9,Enami,SO2,Paipote,Pronosticada,627c412d-8e57-50eb-8e4a-6261e1f8d5f0
01/01/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,a04c60bd-ad58-5c6f-a06c-78b1a56be5a9
01/01/2024,18,7.6,Enami,SO2,Paipote,Pronosticada,4eab66ae-32e9-5aac-89c8-2b8de21c6a94
01/01/2024,19,5.0,Enami,SO2,Paipote,Pronosticada,a138cee5-e35d-5148-9cb6-bed06669c69c
