Fecha,Hora,Observada,Minera,Variable,Estacion,OBS-PRO,uuid
10/01/2023,0,1.3,Enami,Velocidad del Viento,Paipote,Observada,5523145a-a2e6-5ac7-ba6c-75a111428c20
10/01/2023,1,1.1,Enami,Velocidad del Viento,Paipote,Observada,1ea98f46-78f2-5958-ada6-98a2dc5d81f2
10/01/2023,2,1.2,Enami,Velocidad del Viento,Paipote,Observada,cb540e2f-0978-5553-ae58-2e7f98361532
10/01/2023,3,1.9,Enami,Velocidad del Viento,Paipote,Observada,f8253531-7335-5724-93f0-920b8e8fd2c8
10/01/2023,4,2.0,Enami,Velocidad del Viento,Paipote,Observada,dff148e5-8f74-5286-93eb-cdd898e68527
10/01/2023,5,1.5,Enami,Velocidad del Viento,Paipote,Observada,9d6491b1-e0d1-58f7-889a-5adb31d2523f
10/01/2023,6,1.3,Enami,Velocidad del Viento,Paipote,Observada,f1d62a06-67a8-5321-9e68-0c9be9fb0994
10/01/2023,7,0.8,Enami,Velocidad del Viento,Paipote,Observada,7b7ec5a2-984e-5fed-859e-c9310f058ff5
10/01/2023,8,0.7,Enami,Velocidad del Viento,Paipote,Observada,7dfded27-b995-5a2e-a963-8c00f188c02b
10/01/2023,9,0.9,Enami,Velocidad del Viento,Paipote,Observada,8d983673-a16b-5f03-9a31-65141377dd3e
10/01/2023,10,1.9,Enami,Velocidad del Viento,Paipote,Observada,b2c6a37b-a434-58dd-910f-8c1b43ec400d
10/01/2023,11,2.9,Enami,Velocidad del Viento,Paipote,Observada,b1bd7c4f-5a9d-5154-960f-e1985dccda5e
10/01/2023,12,3.7,Enami,Velocidad del Viento,Paipote,Observada,97608c98-7cc9-57bd-b27f-5a2652722061
10/01/2023,13,3.9,Enami,Velocidad del Viento,Paipote,Observada,c2b9750e-2e38-5b59-9bf9-c7c82916e954
10/01/2023,14,4.2,Enami,Velocidad del Viento,Paipote,Observada,9e687a05-a5cb-5cb4-839a-98a274eaba19
10/01/2023,15,4.6,Enami,Velocidad del Viento,Paipote,Observada,1e6d42b0-f4c6-5613-8f57-9ceb400f8699
10/01/2023,16,4.2,Enami,Velocidad del Viento,Paipote,Observada,852dc22f-ba15-536f-8982-f8fe3722e7fd
10/01/2023,17,4.1,Enami,Velocidad del Viento,Paipote,Observada,93f7bff2-df9e-56e1-a1b6-74497a4df361
10/01/2023,18,2.9,Enami,Velocidad del Viento,Paipote,Observada,eccbbbc9-5c76-534a-a468-48bc3f551916
10/01/2023,19,2.0,Enami,Velocidad del Viento,Paipote,Observada,fe0fe791-dcfe-548c-8bd4-da8a69c0fb48
10/01/2023,20,1.8,Enami,Velocidad del Viento,Paipote,Observada,a77c9899-d1ed-52db-a555-e6f418539dc8
10/01/2023,21,1.4,Enami,Velocidad del Viento,Paipote,Observada,9e0172b0-77e7-51a8-bbd0-4dcb32a2463e
10/01/2023,22,2.4,Enami,Velocidad del Viento,Paipote,Observada,1f7ecf4f-95d4-5712-85f7-86ed90b5ae18
10/01/2023,23,1.3,Enami,Velocidad del Viento,Paipote,Observada,1fbee269-c26e-5971-88ed-7d19b325d9f2
10/02/2023,0,1.7,Enami,Velocidad del Viento,Paipote,Observada,05ce87b7-bef8-571a-988b-b911f01ff7b3
10/02/2023,1,1.4,Enami,Velocidad del Viento,Paipote,Observada,a34c9e4c-ad93-539a-93d1-e0b4e48eb99b
10/02/2023,2,1.2,Enami,Velocidad del Viento,Paipote,Observada,e0c6030c-0af0-551e-bcab-aba4638fecd1
10/02/2023,3,1.3,Enami,Velocidad del Viento,Paipote,Observada,c7043716-9ce6-5699-b303-3027d5eafb1a
10/02/2023,4,1.1,Enami,Velocidad del Viento,Paipote,Observada,6398d784-235f-596c-9ea4-316647661267
10/02/2023,5,2.3,Enami,Velocidad del Viento,Paipote,Observada,c0b6a005-783d-5a03-b539-53b245496d68
10/02/2023,6,2.4,Enami,Velocidad del Viento,Paipote,Observada,02cab270-1556-543c-ad41-5695657a661c
10/02/2023,7,1.7,Enami,Velocidad del Viento,Paipote,Observada,30812362-baf4-5087-89b5-bad9e92797f9
10/02/2023,8,0.7,Enami,Velocidad del Viento,Paipote,Observada,8d3546f8-960a-5abb-99e2-4c83400be3cb
10/02/2023,9,1.4,Enami,Velocidad del Viento,Paipote,Observada,5bbbda4b-5a64-5d12-8092-ecd2232815e2
10/02/2023,10,1.8,Enami,Velocidad del Viento,Paipote,Observada,27a8591c-54f7-5124-9eab-67d31318e7a5
10/02/2023,11,3.4,Enami,Velocidad del Viento,Paipote,Observada,0949aeac-18b6-5435-9566-365122725041
10/02/2023,12,4.7,Enami,Velocidad del Viento,Paipote,Observada,04cdc4c8-7cf6-5bbd-85c0-b59e5c856488
10/02/2023,13,3.9,Enami,Velocidad del Viento,Paipote,Observada,94b81753-0c3e-5bca-8f49-53d3055347e2
10/02/2023,14,4.2,Enami,Velocidad del Viento,Paipote,Observada,2a8b7bb1-d9a9-5434-ab8a-c2a846027200
10/02/2023,15,4.6,Enami,Velocidad del Viento,Paipote,Observada,4316c011-49ae-5803-8681-0eaaa28ba936
10/02/2023,16,4.2,Enami,Velocidad del Viento,Paipote,Observada,cfd7d9a4-223d-5853-ab0c-df47efd641c9
10/02/2023,17,4.5,Enami,Velocidad del Viento,Paipote,Observada,dc52012a-2ae6-501e-bb0a-5d06ae364cce
10/02/2023,18,4.3,Enami,Velocidad del Viento,Paipote,Observada,25d96886-16c0-5177-b01a-830fa5b3ae1a
10/02/2023,19,1.6,Enami,Velocidad del Viento,Paipote,Observada,b1bce251-5c26-5578-8109-2b50d52f909a
10/02/2023,20,1.8,Enami,Velocidad del Viento,Paipote,Observada,b3d65be3-9494-5cfb-bf90-3e80177b5eee
10/02/2023,21,2.4,Enami,Velocidad del Viento,Paipote,Observada,94b1c83a-edf5-5e6a-b4d1-e26a27a4daac
10/02/2023,22,1.2,Enami,Velocidad del Viento,Paipote,Observada,62ea0e62-d499-5f67-b3d4-f0089ffec50e
10/02/2023,23,1.0,Enami,Velocidad del Viento,Paipote,Observada,58e2ace2-cda0-5f44-8dba-88f8f56a89eb
10/03/2023,0,2.2,Enami,Velocidad del Viento,Paipote,Observada,296c3114-082a-523c-9f8a-1982a4778db7
10/03/2023,1,2.6,Enami,Velocidad del Viento,Paipote,Observada,16ccdb11-733f-54b1-908c-33a4769e2664
10/03/2023,2,2.3,Enami,Velocidad del Viento,Paipote,Observada,cfde4d37-bf8f-5d0d-9cc3-f126a1ba39d6
10/03/2023,3,2.2,Enami,Velocidad del Viento,Paipote,Observada,ab36b978-15f1-58e6-9d9a-9efdaf801b5f
10/03/2023,4,2.1,Enami,Velocidad del Viento,Paipote,Observada,c11db5dd-6de7-5f4d-b3fe-4a476823649d
10/03/2023,5,1.6,Enami,Velocidad del Viento,Paipote,Observada,0d6670a3-fe3a-5d85-85d6-75a8e3861126
10/03/2023,6,1.0,Enami,Velocidad del Viento,Paipote,Observada,085d58b8-2693-5a77-9551-21dee9b2b57d
10/03/2023,7,0.6,Enami,Velocidad del Viento,Paipote,Observada,461c00af-361b-52ad-9dbc-69e8d1090938
10/03/2023,8,0.7,Enami,Velocidad del Viento,Paipote,Observada,215103c4-916f-5645-a9da-2642626a1418
10/03/2023,9,1.2,Enami,Velocidad del Viento,Paipote,Observada,4f335362-a2ad-54c2-82f0-e05f77f04b9d
10/03/2023,10,1.5,Enami,Velocidad del Viento,Paipote,Observada,9903c70f-b6d5-5230-837c-39076da3478c
10/03/2023,11,1.2,Enami,Velocidad del Viento,Paipote,Observada,c58e5366-4854-589d-830a-9bb6029fe51d
10/03/2023,12,1.5,Enami,Velocidad del Viento,Paipote,Observada,6ccacae0-8813-5921-8a0a-312bdce82993
10/03/2023,13,2.7,Enami,Velocidad del Viento,Paipote,Observada,bc3e0da2-355d-5db3-ba38-dfb5f66136b7
10/03/2023,14,3.5,Enami,Velocidad del Viento,Paipote,Observada,8edc8c54-5cec-5fea-8449-c490ce92f251
10/03/2023,15,4.6,Enami,Velocidad del Viento,Paipote,Observada,288dc8c1-a1b4-5955-b6c9-7b5f15c1392c
10/03/2023,16,4.7,Enami,Velocidad del Viento,Paipote,Observada,76f3ff37-e8c6-5201-bcca-14b2e57400b3
10/03/2023,17,4.3,Enami,Velocidad del Viento,Paipote,Observada,28a36339-1dfe-5d7d-82d4-b81a884738ba
10/03/2023,18,2.9,Enami,Velocidad del Viento,Paipote,Observada,24bfcd46-deb1-5497-a145-58ad2b2ed7ca
10/03/2023,19,1.9,Enami,Velocidad del Viento,Paipote,Observada,5d8f4981-ec7a-53de-9074-c0ad35d9550e
10/03/2023,20,1.2,Enami,Velocidad del Viento,Paipote,Observada,34497386-99e4-5159-a86c-d5675a3a001e
10/03/2023,21,1.0,Enami,Velocidad del Viento,Paipote,Observada,f558eaa5-b473-52a2-a3ae-a2dde42270ed
10/03/2023,22,0.8,Enami,Velocidad del Viento,Paipote,Observada,c454471d-3f55-57e0-b1e8-f2274b4cb7e2
10/03/2023,23,0.3,Enami,Velocidad del Viento,Paipote,Observada,7494448c-4812-5835-a79d-1a8f51490f60
10/04/2023,0,0.4,Enami,Velocidad del Viento,Paipote,Observada,4deafc12-e9b8-580f-8d8c-919fcc6d168e
10/04/2023,1,0.3,Enami,Velocidad del Viento,Paipote,Observada,1dc5f8cb-2ec6-5df8-aed1-f7a3b75a65db
10/04/2023,2,0.7,Enami,Velocidad del Viento,Paipote,Observada,917900c0-117e-585f-8be9-4d7d0f048088
10/04/2023,3,0.6,Enami,Velocidad del Viento,Paipote,Observada,05e8d8d1-440d-5b8e-9424-efc82f41db92
10/04/2023,4,0.9,Enami,Velocidad del Viento,Paipote,Observada,0be54385-2f98-5d43-9c87-a361c6ce60b2
10/04/2023,5,0.9,Enami,Velocidad del Viento,Paipote,Observada,dffbf449-2ff5-54ff-ac04-68d76942b6af
10/04/2023,6,0.8,Enami,Velocidad del Viento,Paipote,Observada,0cf4dab0-4fa0-5153-84b9-ec3959a03f5a
10/04/2023,7,0.7,Enami,Velocidad del Viento,Paipote,Observada,de02b583-490f-5a86-99a8-4da0ad470d3e
10/04/2023,8,0.8,Enami,Velocidad del Viento,Paipote,Observada,55de2efe-598f-50d4-aef9-fa38668b0e53
10/04/2023,9,1.2,Enami,Velocidad del Viento,Paipote,Observada,f8990cbb-74d7-5649-8f6c-1f21f50d0a95
