ID_table,Minera,Estacion,Variable,OBS-PRO
1,Cmcc,Campamento,MP10,Observada
2,Cmcc,Campamento,MP10,Pronosticada
3,Cmcc,Mamina,MP10,Observada
4,Cmcc,Mamina,MP10,Pronosticada
5,Cmcc,Parca,MP10,Observada
6,Cmcc,Parca,MP10,Pronosticada
7,Cmcc,Campamento,Velocidad del viento,Observada
8,Cmcc,Campamento,Velocidad del Viento,Pronosticada
9,Cmcc,Mamina,Velocidad del viento,Observada
10,Cmcc,Mamina,Velocidad del Viento,Pronosticada
11,Cmcc,Parca,Velocidad del viento,Observada
12,Cmcc,Parca,Velocidad del Viento,Pronosticada
13,Enami,Copiapo,SO2,Observada
14,Enami,Copiapo,SO2,Pronosticada
15,Enami,Los Volcanes,SO2,Observada
16,Enami,Los Volcanes,SO2,Pronosticada
17,Enami,Paipote,SO2,Observada
18,Enami,Paipote,SO2,Pronosticada
19,Enami,San Fernando,SO2,Observada
20,Enami,San Fernando,SO2,Pronosticada
21,Enami,Tierra Amarilla,SO2,Observada
22,Enami,Tierra Amarilla,SO2,Pronosticada
23,Enami,Copiapo,Velocidad del Viento,Observada
24,Enami,Copiapo,Velocidad del Viento,Pronosticada
25,Enami,Los Volcanes,Velocidad del Viento,Pronosticada
26,Enami,Paipote,Velocidad del Viento,Observada
27,Enami,Paipote,Velocidad del Viento,Pronosticada
28,Enami,Principal,Velocidad del Viento,Observada
29,Enami,Principal,Velocidad del Viento,Pronosticada
30,Enami,San Fernando,Velocidad del Viento,Observada
31,Enami,San Fernando,Velocidad del Viento,Pronosticada
32,Enami,Tierra Amarilla,Velocidad del Viento,Observada
33,Enami,Tierra Amarilla,Velocidad del Viento,Pronosticada
34,Sierra Gorda,Sierra Gorda,MP10,Observada
35,Sierra Gorda,Sierra Gorda,MP10,Pronosticada
36,Sierra Gorda,Sierra Gorda,Velocidad del Viento,Observada
37,Sierra Gorda,Sierra Gorda,Velocidad del Viento,Pronosticada
38,Spence,Campamento,MP10,Observada
39,Spence,Campamento,MP10,Pronosticada
40,Spence,Sierra Gorda,MP10,Observada
41,Spence,Sierra Gorda,MP10,Pronosticada
42,Spence,Campamento,Velocidad del Viento,Observada
43,Spence,Campamento,Velocidad del Viento,Pronosticada
44,Spence,Sierra Gorda,Velocidad del Viento,Observada
45,Spence,Sierra Gorda,Velocidad del Viento,Pronosticada
