"Fecha","MP10 (µg/m³N)"
"24/10/2023","-"
"25/10/2023","85.0"
"26/10/2023","111.7"
"27/10/2023","92.4"
"28/10/2023","82.2"
"29/10/2023","86.1"
"30/10/2023","45.5"
"31/10/2023","71.8"
"01/11/2023","163.9"
"02/11/2023","88.3"
"03/11/2023","69.4"
"04/11/2023","94.3"
"05/11/2023","68.4"
"06/11/2023","94.9"
"07/11/2023","78.2"
"08/11/2023","100.6"
"09/11/2023","102.3"
"10/11/2023","89.1"
"11/11/2023","100.3"
"12/11/2023","62.4"
"13/11/2023","144.2"
"14/11/2023","116.3"
"15/11/2023","65.7"
"16/11/2023","76.0"
"17/11/2023","95.1"
"18/11/2023","80.0"
"19/11/2023","89.9"
"20/11/2023","82.8"
"21/11/2023","102.4"
"22/11/2023","79.9"
"23/11/2023","100.5"
"24/11/2023","74.5"
"25/11/2023","76.2"
"26/11/2023","63.2"
"27/11/2023","80.8"
"28/11/2023","113.6"
"29/11/2023","73.2"
"30/11/2023","111.7"
"01/12/2023","86.5"
"02/12/2023","82.4"
"03/12/2023","54.0"
"04/12/2023","82.0"
"05/12/2023","71.4"
"06/12/2023","1.0"
"07/12/2023","1.0"
"08/12/2023","34.4"
"09/12/2023","63.2"
"10/12/2023","97.2"
"11/12/2023","66.7"
"12/12/2023","76.7"
"13/12/2023","116.2"
"14/12/2023","73.3"
"15/12/2023","-"
