"Fecha","Hora","MP10 (µg/m³N)"
"24/10/2023","0","178.6"
"24/10/2023","1","314.2"
"24/10/2023","2","191.8"
"24/10/2023","3","161.8"
"24/10/2023","4","142.0"
"24/10/2023","5","160.2"
"24/10/2023","6","229.4"
"24/10/2023","7","261.0"
"24/10/2023","8","197.7"
"24/10/2023","9","92.4"
"24/10/2023","10","191.6"
"24/10/2023","11","51.0"
"24/10/2023","12","30.2"
"24/10/2023","13","49.0"
"24/10/2023","14","89.8"
"24/10/2023","15","266.1"
"24/10/2023","16","110.0"
"24/10/2023","17","59.0"
"24/10/2023","18","242.4"
"24/10/2023","19","25.4"
"24/10/2023","20","48.4"
"24/10/2023","21","32.6"
"24/10/2023","22","55.8"
"24/10/2023","23","398.2"
"25/10/2023","0","98.5"
"25/10/2023","1","314.2"
"25/10/2023","2","191.8"
"25/10/2023","3","161.8"
"25/10/2023","4","142.0"
"25/10/2023","5","160.2"
"25/10/2023","6","97.1"
"25/10/2023","7","594.1"
"25/10/2023","8","358.9"
"25/10/2023","9","236.6"
"25/10/2023","10","88.8"
"25/10/2023","11","49.8"
"25/10/2023","12","95.1"
"25/10/2023","13","42.8"
"25/10/2023","14","103.5"
"25/10/2023","15","216.6"
"25/10/2023","16","110.0"
"25/10/2023","17","59.0"
"25/10/2023","18","65.2"
"25/10/2023","19","25.4"
"25/10/2023","20","115.2"
"25/10/2023","21","65.2"
"25/10/2023","22","58.4"
"25/10/2023","23","73.0"
"26/10/2023","0","178.6"
"26/10/2023","1","314.2"
"26/10/2023","2","229.1"
"26/10/2023","3","161.8"
"26/10/2023","4","142.0"
"26/10/2023","5","160.2"
"26/10/2023","6","100.1"
"26/10/2023","7","229.8"
"26/10/2023","8","358.9"
"26/10/2023","9","92.4"
"26/10/2023","10","191.6"
"26/10/2023","11","60.7"
"26/10/2023","12","45.8"
"26/10/2023","13","27.2"
"26/10/2023","14","61.2"
"26/10/2023","15","266.1"
"26/10/2023","16","365.5"
"26/10/2023","17","59.0"
"26/10/2023","18","242.4"
"26/10/2023","19","25.4"
"26/10/2023","20","70.2"
"26/10/2023","21","26.2"
"26/10/2023","22","46.6"
"26/10/2023","23","539.0"
"27/10/2023","0","98.5"
"27/10/2023","1","255.0"
"27/10/2023","2","196.9"
"27/10/2023","3","133.8"
"27/10/2023","4","142.0"
"27/10/2023","5","70.9"
"27/10/2023","6","202.6"
"27/10/2023","7","276.3"
"27/10/2023","8","358.9"
"27/10/2023","9","149.8"
"27/10/2023","10","48.2"
"27/10/2023","11","42.9"
"27/10/2023","12","46.0"
"27/10/2023","13","27.2"
"27/10/2023","14","82.3"
"27/10/2023","15","266.1"
"27/10/2023","16","205.0"
"27/10/2023","17","87.3"
"27/10/2023","18","242.4"
"27/10/2023","19","19.4"
"27/10/2023","20","21.8"
"27/10/2023","21","26.2"
"27/10/2023","22","46.6"
"27/10/2023","23","80.2"
"28/10/2023","0","98.5"
"28/10/2023","1","167.3"
"28/10/2023","2","139.6"
"28/10/2023","3","93.6"
"28/10/2023","4","154.6"
"28/10/2023","5","123.6"
"28/10/2023","6","202.6"
"28/10/2023","7","276.3"
"28/10/2023","8","358.9"
"28/10/2023","9","91.1"
"28/10/2023","10","97.0"
"28/10/2023","11","42.9"
"28/10/2023","12","46.0"
"28/10/2023","13","48.0"
"28/10/2023","14","25.4"
"28/10/2023","15","33.2"
"28/10/2023","16","45.1"
"28/10/2023","17","87.3"
"28/10/2023","18","242.4"
"28/10/2023","19","19.4"
"28/10/2023","20","21.8"
"28/10/2023","21","26.2"
"28/10/2023","22","46.6"
"28/10/2023","23","220.6"
"29/10/2023","0","134.2"
"29/10/2023","1","84.6"
"29/10/2023","2","58.0"
"29/10/2023","3","37.3"
"29/10/2023","4","44.8"
"29/10/2023","5","166.2"
"29/10/2023","6","122.2"
"29/10/2023","7","173.2"
"29/10/2023","8","208.7"
"29/10/2023","9","91.1"
"29/10/2023","10","48.2"
"29/10/2023","11","42.9"
"29/10/2023","12","46.0"
"29/10/2023","13","42.8"
"29/10/2023","14","25.4"
"29/10/2023","15","114.8"
"29/10/2023","16","45.1"
"29/10/2023","17","60.0"
"29/10/2023","18","242.4"
"29/10/2023","19","19.4"
"29/10/2023","20","39.0"
"29/10/2023","21","26.2"
"29/10/2023","22","52.5"
"29/10/2023","23","132.0"
"30/10/2023","0","134.2"
"30/10/2023","1","167.3"
"30/10/2023","2","91.2"
"30/10/2023","3","348.4"
"30/10/2023","4","154.6"
"30/10/2023","5","123.6"
"30/10/2023","6","374.6"
"30/10/2023","7","131.8"
"30/10/2023","8","358.9"
"30/10/2023","9","92.4"
"30/10/2023","10","74.8"
"30/10/2023","11","42.9"
"30/10/2023","12","30.2"
"30/10/2023","13","23.2"
"30/10/2023","14","49.3"
"30/10/2023","15","266.1"
"30/10/2023","16","365.5"
"30/10/2023","17","56.2"
"30/10/2023","18","242.4"
"30/10/2023","19","12.5"
"30/10/2023","20","20.7"
"30/10/2023","21","111.2"
"30/10/2023","22","58.4"
"30/10/2023","23","87.7"
"31/10/2023","0","98.5"
"31/10/2023","1","314.2"
"31/10/2023","2","229.1"
"31/10/2023","3","104.8"
"31/10/2023","4","103.2"
"31/10/2023","5","102.0"
"31/10/2023","6","592.0"
"31/10/2023","7","196.2"
"31/10/2023","8","286.9"
"31/10/2023","9","333.3"
"31/10/2023","10","191.6"
"31/10/2023","11","60.7"
"31/10/2023","12","30.2"
"31/10/2023","13","42.8"
"31/10/2023","14","71.6"
"31/10/2023","15","266.1"
"31/10/2023","16","365.5"
"31/10/2023","17","59.0"
"31/10/2023","18","242.4"
"31/10/2023","19","19.4"
"31/10/2023","20","39.0"
"31/10/2023","21","31.2"
"31/10/2023","22","46.6"
"31/10/2023","23","402.6"
"01/11/2023","0","128.1"
"01/11/2023","1","314.2"
"01/11/2023","2","191.8"
"01/11/2023","3","104.8"
"01/11/2023","4","142.0"
"01/11/2023","5","70.9"
"01/11/2023","6","374.6"
"01/11/2023","7","108.5"
"01/11/2023","8","358.9"
"01/11/2023","9","236.6"
"01/11/2023","10","191.6"
"01/11/2023","11","42.9"
"01/11/2023","12","46.0"
"01/11/2023","13","23.2"
"01/11/2023","14","71.6"
"01/11/2023","15","29.1"
"01/11/2023","16","22.0"
"01/11/2023","17","94.5"
"01/11/2023","18","242.4"
"01/11/2023","19","12.5"
"01/11/2023","20","20.7"
"01/11/2023","21","32.6"
"01/11/2023","22","82.6"
"01/11/2023","23","147.4"
"02/11/2023","0","116.0"
"02/11/2023","1","255.0"
"02/11/2023","2","323.2"
"02/11/2023","3","241.2"
"02/11/2023","4","103.2"
"02/11/2023","5","114.4"
"02/11/2023","6","592.0"
"02/11/2023","7","108.5"
"02/11/2023","8","286.9"
"02/11/2023","9","185.0"
"02/11/2023","10","79.2"
"02/11/2023","11","49.8"
"02/11/2023","12","40.6"
"02/11/2023","13","27.2"
"02/11/2023","14","61.2"
"02/11/2023","15","189.3"
"02/11/2023","16","118.4"
"02/11/2023","17","117.7"
"02/11/2023","18","100.7"
"02/11/2023","19","12.5"
"02/11/2023","20","68.6"
"02/11/2023","21","26.2"
"02/11/2023","22","92.0"
"02/11/2023","23","147.8"
"03/11/2023","0","225.6"
"03/11/2023","1","255.0"
"03/11/2023","2","369.6"
"03/11/2023","3","241.2"
"03/11/2023","4","189.4"
"03/11/2023","5","98.0"
"03/11/2023","6","592.0"
"03/11/2023","7","108.5"
"03/11/2023","8","228.9"
"03/11/2023","9","337.3"
"03/11/2023","10","191.6"
"03/11/2023","11","103.2"
"03/11/2023","12","53.9"
"03/11/2023","13","42.8"
"03/11/2023","14","103.5"
"03/11/2023","15","266.1"
"03/11/2023","16","365.5"
"03/11/2023","17","59.0"
"03/11/2023","18","242.4"
