Fecha,MP10
24/10/2023,28-Mar-00
25/10/2023,146.8
26/10/2023,166.4
27/10/2023,130.3
28/10/2023,112.8
29/10/2023,85.7
30/10/2023,142.4
31/10/2023,176.2
1/11/2023,128.7
2/11/2023,144
3/11/2023,178.8
4/11/2023,175.1
5/11/2023,155.3
6/11/2023,159.7
7/11/2023,148.7
8/11/2023,161.3
9/11/2023,156.9
10/11/2023,101.6
11/11/2023,159.5
12/11/2023,127
13/11/2023,134.6
14/11/2023,152.5
15/11/2023,166.5
16/11/2023,154.9
17/11/2023,179
18/11/2023,184.8
19/11/2023,182.3
20/11/2023,183.2
21/11/2023,168
22/11/2023,166.3
23/11/2023,152.5
24/11/2023,175.4
25/11/2023,156.6
26/11/2023,147
27/11/2023,145.4
28/11/2023,176.6
29/11/2023,161.1
30/11/2023,160.8
1/12/2023,140.9
2/12/2023,164.2
3/12/2023,197.3
4/12/2023,202.6
5/12/2023,158.7
6/12/2023,244.2
7/12/2023,203
8/12/2023,161.2
9/12/2023,173.9
10/12/2023,170.1
11/12/2023,134.5
12/12/2023,151.4
13/12/2023,200.6
14/12/2023,162
15/12/2023,-
