Fecha,Hora,MP10_Campamento_Pronosticada,MP10_Campamento_Continua,MP10_Sierra_Gorda_Pronosticada,MP10_Sierra_Gorda_Continua,Velocidad_viento_Campamento_Pronosticada,Velocidad_viento_Campamento_Continua,Velocidad_viento_Sierra_Gorda_Pronosticada,Velocidad_viento_Sierra_Gorda_Continua
10/24/2023,0,537.3,,178.6,,2.2,,1.3,
10/24/2023,1,744.0,,314.2,,2.8,,1.8,
10/24/2023,2,214.0,,191.8,,4.2,,1.5,
10/24/2023,3,242.7,,161.8,,3.5,,1.8,
10/24/2023,4,202.5,,142.0,,2.4,,1.9,
10/24/2023,5,240.4,,160.2,,2.1,,1.6,
10/24/2023,6,483.3,,229.4,,0.9,,0.8,
10/24/2023,7,197.6,,261.0,,1.3,,0.7,
10/24/2023,8,296.6,,197.7,,2.3,,2.4,
10/24/2023,9,138.6,,92.4,,3.5,,3.6,
10/24/2023,10,287.4,242.2,191.6,89.0,4.9,1.7,4.0,0.8
10/24/2023,11,35.7,,51.0,,6.1,,4.3,
10/24/2023,12,32.4,110.0,30.2,41.6,6.9,2.8,6.1,2.6
10/24/2023,13,229.0,98.2,49.0,30.0,9.1,2.7,7.0,3.3
10/24/2023,14,203.4,49.6,89.8,66.7,9.6,3.8,7.2,3.9
10/24/2023,15,186.3,44.0,266.1,76.0,9.6,4.8,8.0,4.0
10/24/2023,16,77.0,53.5,110.0,65.1,8.7,4.5,8.6,4.8
10/24/2023,17,41.3,74.0,59.0,99.0,7.1,3.6,7.2,4.9
10/24/2023,18,169.7,62.2,242.4,51.9,4.4,4.0,4.8,5.3
10/24/2023,19,48.8,,25.4,27.9,2.4,,3.1,5.2
10/24/2023,20,38.8,26.6,48.4,10.8,2.8,4.2,1.0,4.0
10/24/2023,21,144.0,28.6,32.6,13.1,3.6,2.4,1.1,2.2
10/24/2023,22,178.8,39.0,55.8,12.6,4.6,2.0,1.6,0.1
10/24/2023,23,229.8,31.5,398.2,40.5,2.6,1.4,1.1,1.4
10/25/2023,0,147.8,39.3,98.5,65.3,3.3,1.3,1.8,0.8
10/25/2023,1,689.6,47.3,314.2,95.3,3.5,1.5,1.8,0.6
10/25/2023,2,308.1,115.3,191.8,24.7,3.1,1.0,2.0,1.4
10/25/2023,3,522.6,,161.8,,2.9,,2.1,
10/25/2023,4,231.9,303.0,142.0,43.9,3.1,0.3,1.7,1.6
10/25/2023,5,185.4,251.4,160.2,22.0,3.2,1.0,1.4,2.3
10/25/2023,6,303.9,96.7,97.1,40.5,1.9,1.2,1.3,3.0
10/25/2023,7,923.7,134.8,594.1,74.1,0.9,1.2,1.0,2.6
10/25/2023,8,538.3,155.1,358.9,199.6,2.1,0.9,0.8,1.6
10/25/2023,9,354.9,139.0,236.6,152.5,2.6,1.2,1.4,1.4
10/25/2023,10,104.2,195.8,88.8,89.3,4.5,1.7,3.1,0.5
10/25/2023,11,52.4,77.9,49.8,290.7,6.2,2.6,4.4,2.6
10/25/2023,12,66.6,62.8,95.1,89.7,6.3,3.5,5.0,3.2
10/25/2023,13,30.0,57.2,42.8,43.7,6.4,4.2,5.9,2.6
10/25/2023,14,203.4,52.8,103.5,33.6,8.7,4.0,8.5,3.1
10/25/2023,15,151.6,30.8,216.6,66.0,9.4,3.9,9.5,4.6
10/25/2023,16,77.0,32.8,110.0,158.8,8.6,4.5,8.7,4.6
