"Fecha","MP10 (µg/m³N)"
"02/12/2021","79.7"
"05/12/2021","50.5"
"08/12/2021","100.4"
"11/12/2021","43.6"
"14/12/2021","37.0"
"17/12/2021","58.5"
"20/12/2021","72.0"
"23/12/2021","48.9"
"26/12/2021","44.2"
"29/12/2021","66.0"
"01/01/2022","44.0"
"04/01/2022","81.8"
"07/01/2022","94.2"
"10/01/2022","48.5"
"13/01/2022","69.1"
"16/01/2022","26.8"
"19/01/2022","45.7"
"22/01/2022","49.4"
"25/01/2022","76.0"
"28/01/2022","62.2"
"31/01/2022","51.8"
"03/02/2022","50.6"
"06/02/2022","52.0"
"09/02/2022","75.7"
"12/02/2022","38.7"
"15/02/2022","56.5"
"18/02/2022","45.2"
"21/02/2022","43.5"
"24/02/2022","53.3"
"27/02/2022","52.7"
"02/03/2022","45.7"
"05/03/2022","60.8"
"08/03/2022","39.3"
"11/03/2022","88.8"
"14/03/2022","47.1"
"17/03/2022","102.6"
"20/03/2022","127.4"
"23/03/2022","106.2"
"26/03/2022","93.4"
"29/03/2022","96.2"
"01/04/2022","108.2"
"04/04/2022","72.7"
"07/04/2022","69.2"
"10/04/2022","67.5"
"13/04/2022","78.1"
"16/04/2022","78.9"
"19/04/2022","96.7"
"22/04/2022","51.4"
"25/04/2022","83.3"
"28/04/2022","74.2"
"01/05/2022","79.5"
"04/05/2022","91.1"
"07/05/2022","79.0"
"10/05/2022","133.9"
"13/05/2022","93.1"
"16/05/2022","132.3"
"19/05/2022","112.9"
"22/05/2022","174.9"
"25/05/2022","122.4"
"28/05/2022","59.4"
"31/05/2022","81.9"
"03/06/2022","89.8"
"06/06/2022","76.4"
"09/06/2022","116.0"
"12/06/2022","91.0"
"15/06/2022","118.4"
"18/06/2022","94.1"
"21/06/2022","218.8"
"24/06/2022","100.0"
"27/06/2022","57.2"
"30/06/2022","101.1"
"03/07/2022","112.8"
"06/07/2022","195.9"
"09/07/2022","92.1"
"12/07/2022","70.7"
"15/07/2022","148.6"
"18/07/2022","96.1"
"21/07/2022","224.4"
"24/07/2022","100.5"
"27/07/2022","57.1"
"30/07/2022","130.7"
"02/08/2022","50.6"
"05/08/2022","69.1"
"08/08/2022","61.8"
"11/08/2022","97.3"
"14/08/2022","87.7"
"17/08/2022","182.3"
"20/08/2022","74.9"
"23/08/2022","75.6"
"26/08/2022","137.6"
"29/08/2022","90.6"
"01/09/2022","112.4"
"04/09/2022","75.6"
"07/09/2022","111.4"
"10/09/2022","123.8"
"13/09/2022","83.2"
"16/09/2022","86.7"
"19/09/2022","78.6"
"22/09/2022","71.3"
"25/09/2022","58.8"
"28/09/2022","133.7"
"01/10/2022","86.9"
"04/10/2022","138.2"
"07/10/2022","77.5"
"10/10/2022","116.2"
"13/10/2022","82.7"
"16/10/2022","84.6"
"19/10/2022","86.1"
"22/10/2022","81.0"
"25/10/2022","72.2"
"28/10/2022","84.1"
"31/10/2022","89.8"
"03/11/2022","71.1"
"06/11/2022","73.2"
"09/11/2022","96.1"
"12/11/2022","64.2"
"15/11/2022","96.6"
"18/11/2022","75.2"
"21/11/2022","86.2"
"24/11/2022","53.2"
"27/11/2022","102.7"
"30/11/2022","55.1"
"03/12/2022","49.4"
"06/12/2022","73.1"
"09/12/2022","87.2"
"12/12/2022","47.8"
"15/12/2022","89.0"
"18/12/2022","74.8"
"21/12/2022","47.9"
"24/12/2022","61.1"
"27/12/2022","54.4"
"30/12/2022","80.0"
"02/01/2023","59.0"
"05/01/2023","60.0"
"08/01/2023","60.0"
"11/01/2023","76.0"
"14/01/2023","85.0"
"17/01/2023","52.0"
"20/01/2023","60.0"
"23/01/2023","55.0"
"26/01/2023","82.0"
"29/01/2023","57.0"
"01/02/2023","58.0"
"04/02/2023","57.6"
"07/02/2023","40.5"
"10/02/2023","70.1"
"13/02/2023","56.0"
"16/02/2023","60.9"
"19/02/2023","64.4"
"22/02/2023","101.5"
"25/02/2023","96.3"
"28/02/2023","135.0"
"03/03/2023","113.0"
"06/03/2023","74.0"
"09/03/2023","60.0"
"12/03/2023","59.0"
"15/03/2023","122.0"
"18/03/2023","51.0"
"21/03/2023","61.0"
"24/03/2023","87.0"
"27/03/2023","85.0"
"30/03/2023","77.0"
"02/04/2023","48.0"
"05/04/2023","81.0"
"08/04/2023","92.0"
"11/04/2023","218.0"
"14/04/2023","151.0"
"17/04/2023","139.0"
"20/04/2023","157.0"
"23/04/2023","82.0"
"26/04/2023","98.0"
"29/04/2023","91.0"
"02/05/2023","110.0"
"05/05/2023","114.0"
"08/05/2023","89.0"
"11/05/2023","144.0"
"14/05/2023","106.0"
"17/05/2023","102.0"
"20/05/2023","137.0"
"23/05/2023","100.0"
"26/05/2023","62.0"
"29/05/2023","112.0"
"01/06/2023","107.0"
"04/06/2023",""
"07/06/2023","111.0"
"10/06/2023","124.0"
"14/06/2023","211.0"
"16/06/2023","176.0"
"19/06/2023","67.0"
"22/06/2023",""
"25/06/2023","86.0"
"28/06/2023","146.0"
"01/07/2023","130.0"
"04/07/2023","96.0"
"07/07/2023","91.0"
"10/07/2023","159.0"
"13/07/2023","167.0"
"16/07/2023","81.0"
"19/07/2023","139.0"
"22/07/2023","101.0"
"25/07/2023","110.0"
"28/07/2023","108.0"
"31/07/2023","136.0"
"03/08/2023","108.0"
"06/08/2023","77.0"
"09/08/2023","124.0"
"12/08/2023","83.0"
"15/08/2023","89.0"
"18/08/2023","97.0"
"21/08/2023","78.0"
"24/08/2023","108.0"
"27/08/2023","59.0"
"30/08/2023","68.0"
"02/09/2023","139.0"
"05/09/2023","110.0"
"08/09/2023","81.0"
"11/09/2023","88.0"
"14/09/2023","95.0"
"17/09/2023","61.0"
"20/09/2023","104.0"
"23/09/2023","64.0"
"26/09/2023","72.0"
"29/09/2023","92.0"
"02/10/2023","88.0"
"05/10/2023","88.0"
"08/10/2023","58.0"
"11/10/2023","77.0"
"14/10/2023","87.0"
"17/10/2023","102.0"
"20/10/2023","93.0"
"23/10/2023","61.0"
"26/10/2023","111.0"
"29/10/2023","73.0"
"30/10/s2023","79.7"
